Candidate,Gender,Race,State,DistrictNo,District,Party,ICO,PrimaryResults,PrimaryStatus,RunoffResults,RunoffStatus,GeneralResults,RankedChoiceResults,GeneralStatus,PVI,Clinton2016,Trump2016,WFD,MoneyRaised,MoneySpent,ElectedOffice
Mike Rogers,Male,White,AL,3,AL-3,Republican,Incumbent,100,1,,,63.74,,1,-16,32.3,65.3,0.060245477,1349853,1292402,Yes
Lee Auman,Male,White,AL,4,AL-4,Democrat,Challenger,54.12,1,,,20.11,,0,-30,17.4,80.4,0.046497162,70426,77552,No
Rick Neighbors,Male,White,AL,4,AL-4,Democrat,Challenger,45.88,0,,,,,,-30,17.4,80.4,0.046497162,21088,17429,No
Robert Aderholt,Male,White,AL,4,AL-4,Republican,Incumbent,81.5,1,,,79.79,,1,-30,17.4,80.4,0.046497162,1539958,1273164,Yes
Anthony Blackmon,Male,White,AL,4,AL-4,Republican,Challenger,18.5,0,,,,,,-30,17.4,80.4,0.046497162,5648,5355,No
Peter Joffrion,Male,White,AL,5,AL-5,Democrat,Challenger,100,1,,,38.85,,0,-18,31.3,64.7,0.075398772,575503,572568,No
Mo Brooks,Male,White,AL,5,AL-5,Republican,Incumbent,61.3,1,,,61.06,,1,-18,31.3,64.7,0.075398772,1504780,1981632,Yes
Clayton Hinchman,Male,White,AL,5,AL-5,Republican,Challenger,38.7,0,,,,,,-18,31.3,64.7,0.075398772,246424,251490,No
Danner Kline,Male,White,AL,6,AL-6,Democrat,Challenger,100,1,,,30.73,,0,-26,26.1,70.8,0.078242455,287397,287397,No
Gary Palmer,Male,White,AL,6,AL-6,Republican,Incumbent,100,1,,,69.22,,1,-26,26.1,70.8,0.078242455,1193601,1440947,Yes
Terri A. Sewell,Female,Non-white,AL,7,AL-7,Democrat,Incumbent,100,1,,,97.8,,1,20,69.8,28.6,0.136213473,1114412,1114412,Yes
Chintan Desai,Male,Non-white,AR,1,AR-1,Democrat,Challenger,100,1,,,28.8,,0,-17,30.2,65,0.048724307,1018409,953344,No
Rick Crawford,Male,White,AR,1,AR-1,Republican,Incumbent,100,1,,,68.9,,1,-17,30.2,65,0.048724307,137153,137153,Yes
Jonathan Dunkley,Male,Non-white,AR,2,AR-2,Democrat,Challenger,9.34,0,,,,,,-7,41.7,52.4,0.098836361,34466,34298,No
Clarke Tucker,Male,White,AR,2,AR-2,Democrat,Challenger,57.82,1,,,45.8,,0,-7,41.7,52.4,0.098836361,2355590,2346072,Yes
Gwen Combs,Female,White,AR,2,AR-2,Democrat,Challenger,20.3,0,,,,,,-7,41.7,52.4,0.098836361,33934,31817,No
Paul J. Spencer,Male,White,AR,2,AR-2,Democrat,Challenger,12.55,0,,,,,,-7,41.7,52.4,0.098836361,266176,265346,No
French Hill,Male,White,AR,2,AR-2,Republican,Incumbent,100,1,,,52.1,,1,-7,41.7,52.4,0.098836361,2928395,3484714,Yes
Josh Mahony,Male,White,AR,3,AR-3,Democrat,Challenger,100,1,,,32.6,,0,-19,30.5,61.9,0.066229121,266334,266133,No
Steve Womack,Male,White,AR,3,AR-3,Republican,Incumbent,84.16,1,,,64.8,,1,-19,30.5,61.9,0.066229121,1198819,1183674,Yes
Robb Ryerse,Male,White,AR,3,AR-3,Republican,Challenger,15.84,0,,,,,,-19,30.5,61.9,0.066229121,50302,42944,No
Hayden Catherine Shamel,Male,White,AR,4,AR-4,Democrat,Challenger,100,1,,,33.1,,0,-17,31.3,64.2,0.04911213,152067,149870,No
Bruce Westerman,Male,White,AR,4,AR-4,Republican,Incumbent,79.84,1,,,66.8,,1,-17,31.3,64.2,0.04911213,1589250,1257092,Yes
Randy Caldwell,Male,White,AR,4,AR-4,Republican,Challenger,20.16,0,,,,,,-17,31.3,64.2,0.04911213,14450,15452,No
Tom O'Halleran,Male,White,AZ,1,AZ-1,Democrat,Incumbent,100,1,,,53.8,,1,-2,46.6,47.7,0.122425238,2685524,2662858,Yes
Steve Smith,Male,White,AZ,1,AZ-1,Republican,Challenger,37.04,0,,,,,,-2,46.6,47.7,0.122425238,362737,362548,Yes
Tiffany Shedd,Female,White,AZ,1,AZ-1,Republican,Challenger,19.22,0,,,,,,-2,46.6,47.7,0.122425238,560807,557268,No
Wendy Rogers,Female,White,AZ,1,AZ-1,Republican,Challenger,43.74,1,,,46.1,,0,-2,46.6,47.7,0.122425238,1382348,1384530,No
Bruce Wheeler,Male,Non-white,AZ,2,AZ-2,Democrat,Open,8.4,0,,,,,,-1,49.6,44.7,0.191259728,31282,21980,Yes
"Maria ""Mary"" Matiella",Female,Non-white,AZ,2,AZ-2,Democrat,Open,9.38,0,,,,,,-1,49.6,44.7,0.191259728,275473,275473,No
Ann Kirkpatrick,Female,White,AZ,2,AZ-2,Democrat,Open,41.85,1,,,54.7,,1,-1,49.6,44.7,0.191259728,4442543,4313773,Yes
Barbara Sherry,Female,White,AZ,2,AZ-2,Democrat,Open,2.56,0,,,,,,-1,49.6,44.7,0.191259728,7218,2038,No
Billy Kovacs,Male,White,AZ,2,AZ-2,Democrat,Open,6.6,0,,,,,,-1,49.6,44.7,0.191259728,82954,61288,No
Matt Heinz,Male,White,AZ,2,AZ-2,Democrat,Open,29.59,0,,,,,,-1,49.6,44.7,0.191259728,969981,969481,Yes
Yahya Yuksel,Male,White,AZ,2,AZ-2,Democrat,Open,1.63,0,,,,,,-1,49.6,44.7,0.191259728,51849,51090,No
"Daniel Romero Morales, Jr",Male,Non-white,AZ,2,AZ-2,Republican,Open,16.13,0,,,,,,-1,49.6,44.7,0.191259728,11351,10829,No
Lea Marquez Peterson,Female,Non-white,AZ,2,AZ-2,Republican,Open,34.15,1,,,45.2,,0,-1,49.6,44.7,0.191259728,1446342,1425966,No
Brandon Martin,Male,White,AZ,2,AZ-2,Republican,Open,28.7,0,,,,,,-1,49.6,44.7,0.191259728,39097,39057,No
Casey Welch,Male,White,AZ,2,AZ-2,Republican,Open,21.01,0,,,,,,-1,49.6,44.7,0.191259728,14846,14652,No
Raúl Grijalva,Male,Non-white,AZ,3,AZ-3,Democrat,Incumbent,99.82,1,,,63.9,,1,13,62.4,32.5,0.248139257,691285,693510,Yes
Edna San Miguel,Female,Non-white,AZ,3,AZ-3,Republican,Challenger,21.93,0,,,,,,13,62.4,32.5,0.248139257,11285,7247,No
"Nicolas ""Nick"" Pierson",Male,Non-white,AZ,3,AZ-3,Republican,Challenger,49.87,1,,,36.1,,0,13,62.4,32.5,0.248139257,77001,71241,No
Sergio Arellano,Male,Non-white,AZ,3,AZ-3,Republican,Challenger,28.19,0,,,,,,13,62.4,32.5,0.248139257,40012,40321,No
David Brill,Male,White,AZ,4,AZ-4,Democrat,Challenger,52.4,1,,,30.5,,0,-21,27.5,67.7,0.108367234,588544,509387,No
Delina Disanto,Female,White,AZ,4,AZ-4,Democrat,Challenger,47.47,0,,,,,,-21,27.5,67.7,0.108367234,27926,17758,No
Paul Gosar,Male,White,AZ,4,AZ-4,Republican,Incumbent,100,1,,,68.2,,1,-21,27.5,67.7,0.108367234,582378,511029,Yes
Jose Torres,Male,Non-white,AZ,5,AZ-5,Democrat,Challenger,40.68,0,,,,,,-15,36.5,57.6,0.159528057,10411,10862,No
Joan Greene,Female,White,AZ,5,AZ-5,Democrat,Challenger,59.32,1,,,40.6,,0,-15,36.5,57.6,0.159528057,199238,199163,No
Andy Biggs,Male,White,AZ,5,AZ-5,Republican,Incumbent,100,1,,,59.4,,1,-15,36.5,57.6,0.159528057,607969,369761,Yes
Anita Malik,Female,Non-white,AZ,6,AZ-6,Democrat,Challenger,42.21,1,,,44.8,,0,-9,42.4,52.4,0.222975207,397736,390346,No
Garrick McFadden,Male,Non-white,AZ,6,AZ-6,Democrat,Challenger,20.16,0,,,,,,-9,42.4,52.4,0.222975207,105424,105423,No
Heather Ross,Female,White,AZ,6,AZ-6,Democrat,Challenger,37.63,0,,,,,,-9,42.4,52.4,0.222975207,426305,426305,No
David Schweikert,Male,White,AZ,6,AZ-6,Republican,Incumbent,100,1,,,55.2,,1,-9,42.4,52.4,0.222975207,1631922,1589737,Yes
Ruben Gallego,Male,Non-white,AZ,7,AZ-7,Democrat,Incumbent,74.8,1,,,85.6,,1,23,71.8,22.6,0.328425987,1018343,931548,Yes
Catherine Miranda,Female,Non-white,AZ,7,AZ-7,Democrat,Challenger,25.2,0,,,,,,23,71.8,22.6,0.328425987,31240,28683,Yes
Hiral Tipirneni,Female,Non-white,AZ,8,AZ-8,Democrat,Challenger,100,1,,,44.5,,0,-13,37,58.1,0.163796965,4480119,4334776,No
Debbie Lesko,Female,White,AZ,8,AZ-8,Republican,Incumbent,77.17,1,,,55.5,,1,-13,37,58.1,0.163796965,2074549,1978371,Yes
Sandra Dowling,Female,White,AZ,8,AZ-8,Republican,Challenger,22.83,0,,,,,,-13,37,58.1,0.163796965,12543,12543,No
Greg Stanton,Male,White,AZ,9,AZ-9,Democrat,Open,100,1,,,61.1,,1,4,54.7,38.4,0.256839519,2481100,2397071,Yes
Irina Baroness Von Behr,Female,Non-white,AZ,9,AZ-9,Republican,Open,7.77,0,,,,,,4,54.7,38.4,0.256839519,20793,20640,No
Dave Giles,Male,White,AZ,9,AZ-9,Republican,Open,32.31,0,,,,,,4,54.7,38.4,0.256839519,180704,180752,No
Stephan Ferrara,Male,White,AZ,9,AZ-9,Republican,Open,59.92,1,,,38.9,,0,4,54.7,38.4,0.256839519,1502065,1502065,No
Audrey Denney,Female,White,CA,1,CA-1,Democrat,Challenger,17.9,1,,,45.1,,0,-11,36.5,56.2,0.11226212,1092475,1040632,No
David Peterson,Male,White,CA,1,CA-1,Democrat,Challenger,3,0,,,,,,-11,36.5,56.2,0.11226212,17275,12697,No
Jessica Jones Holcombe,Female,White,CA,1,CA-1,Democrat,Challenger,11.7,0,,,,,,-11,36.5,56.2,0.11226212,285848,285848,No
Marty Walters,Female,White,CA,1,CA-1,Democrat,Challenger,8.4,0,,,,,,-11,36.5,56.2,0.11226212,68638,68638,No
Gregory Edward Cheadle,Male,Non-white,CA,1,CA-1,Republican,Challenger,6.1,0,,,,,,-11,36.5,56.2,0.11226212,2500,2500,No
Doug La Malfa,Male,White,CA,1,CA-1,Republican,Incumbent,51.7,1,,,54.9,,1,-11,36.5,56.2,0.11226212,1028107,1076479,Yes
Lewis Elbinger,Male,White,CA,1,CA-1,Third Party,Challenger,1.2,0,,,,,,-11,36.5,56.2,0.11226212,16117,16117,No
Jared Huffman,Male,White,CA,2,CA-2,Democrat,Incumbent,72.5,1,,,77,,1,22,69,23.3,0.21868976,931786,681375,Yes
Andy Caffrey,Male,White,CA,2,CA-2,Democrat,Challenger,6.6,0,,,,,,22,69,23.3,0.21868976,2500,2500,No
Dale K. Mensing,Male,White,CA,2,CA-2,Republican,Challenger,20.9,1,,,23,,0,22,69,23.3,0.21868976,2500,2500,No
John Garamendi,Male,White,CA,3,CA-3,Democrat,Incumbent,53.6,1,,,58.1,,1,5,53,40.4,0.197001458,1106086,815931,Yes
Kevin Puett,Male,White,CA,3,CA-3,Democrat,Challenger,4.3,0,,,,,,5,53,40.4,0.197001458,2500,2500,No
Charlie Schaupp,Male,,CA,3,CA-3,Republican,Challenger,42.1,1,,,41.9,,0,5,53,40.4,0.197001458,38032,26905,No
Roza Calderon,Female,Non-white,CA,4,CA-4,Democrat,Challenger,6.4,0,,,,,,-10,39.3,54,0.124146734,94676,29422,No
Jessica Morse,Female,White,CA,4,CA-4,Democrat,Challenger,20.3,1,,,45.9,,0,-10,39.3,54,0.124146734,3768846,3656464,No
Regina Bateson,Female,White,CA,4,CA-4,Democrat,Challenger,12.4,0,,,,,,-10,39.3,54,0.124146734,748676,748676,No
Robert Lawton,Male,White,CA,4,CA-4,Democrat,Challenger,2.2,0,,,,,,-10,39.3,54,0.124146734,2500,2500,No
Tom McClintock,Male,White,CA,4,CA-4,Republican,Incumbent,51.8,1,,,54.1,,1,-10,39.3,54,0.124146734,1731924,1767856,Yes
Mitchell White,Male,White,CA,4,CA-4,Republican,Challenger,6.8,0,,,,,,-10,39.3,54,0.124146734,11496,10442,No
Mike Thompson,Male,White,CA,5,CA-5,Democrat,Incumbent,79.3,1,,,78.9,,1,21,69.2,24.3,0.263393582,2087424,1912404,Yes
Jason Kishineff,Male,White,CA,5,CA-5,Third Party,Challenger,3.6,0,,,,,,21,69.2,24.3,0.263393582,2500,2500,No
Anthony Mills,Male,White,CA,5,CA-5,Third Party,Challenger,8.8,1,,,21.1,,0,21,69.2,24.3,0.263393582,2500,2500,No
Nils Palsson,Male,White,CA,5,CA-5,Third Party,Challenger,8.3,0,,,,,,21,69.2,24.3,0.263393582,2500,2500,No
Doris Matsui,Female,Non-white,CA,6,CA-6,Democrat,Incumbent,87.9,1,,,80.4,,1,21,69.2,24.4,0.31422496,1066308,1075075,Yes
Jrmar Jefferson,Male,Non-white,CA,6,CA-6,Democrat,Challenger,12.1,1,,,19.6,,0,21,69.2,24.4,0.31422496,2500,2500,No
Ami Bera,Male,Non-white,CA,7,CA-7,Democrat,Incumbent,51.7,1,,,55,,1,3,52.3,40.9,0.226137615,2925801,1676117,Yes
Andrew Grant,Male,White,CA,7,CA-7,Republican,Challenger,31.2,1,,,45,,0,3,52.3,40.9,0.226137615,560283,543371,No
Yona Barash,Male,White,CA,7,CA-7,Republican,Challenger,13.9,0,,,,,,3,52.3,40.9,0.226137615,168265,168265,No
"Robert Christian ""Chris"" Richardson",Male,White,CA,7,CA-7,Third Party,Challenger,1.9,0,,,,,,3,52.3,40.9,0.226137615,2500,2500,No
Reginald H. Claytor,Male,Non-white,CA,7,CA-7,Third Party,Challenger,1.3,0,,,,,,3,52.3,40.9,0.226137615,2500,2500,No
Rita Ramirez,Female,Non-white,CA,8,CA-8,Democrat,Challenger,10.1,0,,,,,,-9,39.6,54.7,0.153607116,369,4514,No
"Marjorie ""Marge"" Doyle",Female,White,CA,8,CA-8,Democrat,Challenger,21.7,0,,,,,,-9,39.6,54.7,0.153607116,400315,358718,No
Ronald J. O'Donnell,Male,White,CA,8,CA-8,Democrat,Challenger,4.6,0,,,,,,-9,39.6,54.7,0.153607116,2500,2500,No
Paul Cook,Male,White,CA,8,CA-8,Republican,Incumbent,40.8,1,,,60,,1,-9,39.6,54.7,0.153607116,957456,1378101,Yes
Tim Donnelly,Male,White,CA,8,CA-8,Republican,Challenger,22.8,1,,,40,,0,-9,39.6,54.7,0.153607116,271788,270673,Yes
Jerry McNerney,Male,White,CA,9,CA-9,Democrat,Incumbent,53.2,1,,,56.5,,1,8,56.6,38,0.230580655,1218453,1168543,Yes
Marla Livengood,Female,White,CA,9,CA-9,Republican,Challenger,41.1,1,,,43.5,,0,8,56.6,38,0.230580655,97792,96839,Yes
Mike A. Tsarnas,Male,,CA,9,CA-9,Third Party,Challenger,5.7,0,,,,,,8,56.6,38,0.230580655,2500,2500,No
Virginia Madueño,Female,Non-white,CA,10,CA-10,Democrat,Challenger,9.2,0,,,,,,0,48.5,45.5,0.194563655,324460,324451,Yes
Josh Harder,Male,White,CA,10,CA-10,Democrat,Challenger,17,1,,,52.3,,1,0,48.5,45.5,0.194563655,8357587,8291392,No
Dotty Nygard,Female,White,CA,10,CA-10,Democrat,Challenger,0.9,0,,,,,,0,48.5,45.5,0.194563655,68317,68317,No
Michael Eggman,Male,White,CA,10,CA-10,Democrat,Challenger,10.2,0,,,,,,0,48.5,45.5,0.194563655,289311,340720,No
"Michael J. ""Mike"" Barkley",Male,White,CA,10,CA-10,Democrat,Challenger,2.4,0,,,,,,0,48.5,45.5,0.194563655,47462,13419,No
Sue Zwahlen,Female,White,CA,10,CA-10,Democrat,Challenger,8.2,0,,,,,,0,48.5,45.5,0.194563655,838878,478897,Yes
Jeff Denham,Male,White,CA,10,CA-10,Republican,Incumbent,37.5,1,,,47.7,,0,0,48.5,45.5,0.194563655,4824542,4872897,Yes
Ted D. Howze,Male,White,CA,10,CA-10,Republican,Challenger,14.6,0,,,,,,0,48.5,45.5,0.194563655,30300,2500,No
Mark DeSaulnier,Male,White,CA,11,CA-11,Democrat,Incumbent,68.3,1,,,74.1,,1,21,71.5,22.7,0.31711099,572475,466063,Yes
Dennis Lytton,Male,White,CA,11,CA-11,Democrat,Challenger,5.5,0,,,,,,21,71.5,22.7,0.31711099,10800,8133,No
John Fitzgerald,Male,White,CA,11,CA-11,Republican,Challenger,23.1,1,,,25.9,,0,21,71.5,22.7,0.31711099,2500,2500,No
Chris Wood,Male,White,CA,11,CA-11,Third Party,Challenger,3.1,0,,,,,,21,71.5,22.7,0.31711099,2500,2500,No
Shahid Buttar,Male,Non-white,CA,12,CA-12,Democrat,Challenger,8.5,0,,,,,,37,86.2,8.7,0.48898289,69121,68407,No
Nancy Pelosi,Female,White,CA,12,CA-12,Democrat,Incumbent,68.5,1,,,86.8,,1,37,86.2,8.7,0.48898289,4436932,5111387,Yes
Ryan A. Khojasteh,Male,White,CA,12,CA-12,Democrat,Challenger,4.6,0,,,,,,37,86.2,8.7,0.48898289,52574,52574,No
Stephen Jaffe,Male,White,CA,12,CA-12,Democrat,Challenger,5.9,0,,,,,,37,86.2,8.7,0.48898289,98449,97336,No
Lisa Remmer,Female,White,CA,12,CA-12,Republican,Challenger,9.1,1,,,13.2,,0,37,86.2,8.7,0.48898289,12443,12443,No
Barry Hermanson,Male,White,CA,12,CA-12,Third Party,Challenger,2,0,,,,,,37,86.2,8.7,0.48898289,7114,7114,No
Michael Goldstein,Male,White,CA,12,CA-12,Third Party,Challenger,1.4,0,,,,,,37,86.2,8.7,0.48898289,2500,2500,No
Barbara Lee,Female,Non-white,CA,13,CA-13,Democrat,Incumbent,99.3,1,,,88.4,,1,40,87.4,6.8,0.40756855,1803086,1669206,Yes
Laura Wells,Female,White,CA,13,CA-13,Third Party,Challenger,0.5,1,,,11.6,,0,40,87.4,6.8,0.40756855,8439,6491,No
Jackie Speier,Female,White,CA,14,CA-14,Democrat,Incumbent,79.4,1,,,79.2,,1,27,76.9,18.2,0.374803913,942315,693324,Yes
Cristina Osmeña,Female,Non-white,CA,14,CA-14,Republican,Challenger,20.6,1,,,20.8,,0,27,76.9,18.2,0.374803913,2500,2500,No
Eric Swalwell,Male,White,CA,15,CA-15,Democrat,Incumbent,70.5,1,,,73,,1,20,69.9,24.2,0.291496052,2979837,2311648,Yes
Rudy L. Peters Jr.,Male,White,CA,15,CA-15,Republican,Challenger,26.2,1,,,27,,0,20,69.9,24.2,0.291496052,56514,56514,No
Brendan St. John,Male,White,CA,15,CA-15,Third Party,Challenger,3.3,0,,,,,,20,69.9,24.2,0.291496052,9348,9251,No
Jim Costa,Male,Non-white,CA,16,CA-16,Democrat,Incumbent,53,1,,,57.5,,1,9,58,36.4,0.253387624,1831442,2338228,Yes
Elizabeth Heng,Female,Non-white,CA,16,CA-16,Republican,Challenger,47,1,,,42.5,,0,9,58,36.4,0.253387624,1267145,1235784,No
Ro Khanna,Male,Non-white,CA,17,CA-17,Democrat,Incumbent,62,1,,,75.3,,1,25,73.9,20.5,0.322509723,2690214,1864703,Yes
Khanh Tran,Male,Non-white,CA,17,CA-17,Democrat,Challenger,7.2,0,,,,,,25,73.9,20.5,0.322509723,7265,7208,Yes
Stephen Forbes,Male,,CA,17,CA-17,Democrat,Challenger,5.3,0,,,,,,25,73.9,20.5,0.322509723,2500,2500,No
Ron Cohen,Male,White,CA,17,CA-17,Republican,Challenger,22.9,1,,,24.7,,0,25,73.9,20.5,0.322509723,2500,2500,No
Kennita Watson,Female,Non-white,CA,17,CA-17,Third Party,Challenger,2.6,0,,,,,,25,73.9,20.5,0.322509723,2500,2500,No
Anna G. Eshoo,Female,White,CA,18,CA-18,Democrat,Incumbent,73.4,1,,,74.5,,1,23,73.4,20.2,0.286373736,1422301,1310509,Yes
Christine Russell,Female,White,CA,18,CA-18,Republican,Challenger,23.4,1,,,26.2,,0,23,73.4,20.2,0.286373736,2500,2500,No
John Karl Fredrich,Male,White,CA,18,CA-18,Third Party,Challenger,3.2,0,,,,,,23,73.4,20.2,0.286373736,2500,2500,No
Zoe Lofgren,Female,White,CA,19,CA-19,Democrat,Incumbent,99,1,,,73.8,,1,24,72.9,21.5,0.312514183,1642785,1783440,Yes
Justin James Aguilera,Male,Non-white,CA,19,CA-19,Republican,Challenger,0.8,1,,,26.2,,0,24,72.9,21.5,0.312514183,23994,14666,No
Jimmy Panetta,Male,White,CA,20,CA-20,Democrat,Incumbent,80.7,1,,,81.4,,1,23,70.4,23.2,0.298140351,1239822,697732,Yes
Douglas Deitch,Male,White,CA,20,CA-20,Democrat,Challenger,3.9,0,,,,,,23,70.4,23.2,0.298140351,2500,2500,No
Ronald Paul Kabat,Male,White,CA,20,CA-20,Third Party,Challenger,15.4,1,,,18.6,,0,23,70.4,23.2,0.298140351,2500,2500,No
TJ Cox,Male,Non-white,CA,21,CA-21,Democrat,Challenger,37.2,1,,,50.4,,1,5,55.2,39.7,0.245275791,2903135,2779979,No
David G. Valadao,Male,Non-white,CA,21,CA-21,Republican,Incumbent,62.8,1,,,49.6,,0,5,55.2,39.7,0.245275791,3271668,3229221,Yes
Andrew Janz,Male,Non-white,CA,22,CA-22,Democrat,Challenger,31.7,1,,,47.3,,0,-8,42.6,52.1,0.209303851,9086681,8963629,No
Bobby Bliatout,Male,Non-white,CA,22,CA-22,Democrat,Challenger,4.9,0,,,,,,-8,42.6,52.1,0.209303851,314176,314176,No
"Ricardo ""Rico"" Franco",Male,Non-white,CA,22,CA-22,Democrat,Challenger,3.6,0,,,,,,-8,42.6,52.1,0.209303851,50405,48176,No
Devin G. Nunes,Male,Non-white,CA,22,CA-22,Republican,Incumbent,57.6,1,,,52.7,,1,-8,42.6,52.1,0.209303851,12536985,11325176,Yes
Bill Merryman,Male,White,CA,22,CA-22,Third Party,Challenger,0.9,0,,,,,,-8,42.6,52.1,0.209303851,2500,2500,No
Brian T. Carroll,Male,White,CA,22,CA-22,Third Party,Challenger,1.3,0,,,,,,-8,42.6,52.1,0.209303851,2500,2500,No
Kurtis Wilson,Male,Non-white,CA,23,CA-23,Democrat,Challenger,11.4,0,,,,,,-14,36.1,58.1,0.160088728,12040,11839,No
Tatiana Matta,Female,Non-white,CA,23,CA-23,Democrat,Challenger,12.6,1,,,36.3,,0,-14,36.1,58.1,0.160088728,116057,98538,No
Mary Helen Barro,Female,White,CA,23,CA-23,Democrat,Challenger,5.4,0,,,,,,-14,36.1,58.1,0.160088728,12464,12394,No
Wendy Reed,Female,White,CA,23,CA-23,Democrat,Challenger,10.1,0,,,,,,-14,36.1,58.1,0.160088728,25546,26417,No
Kevin McCarthy,Male,White,CA,23,CA-23,Republican,Incumbent,68.8,1,,,63.7,,1,-14,36.1,58.1,0.160088728,7978689,7897631,Yes
James Davis,Male,,CA,23,CA-23,Third Party,Challenger,1.7,0,,,,,,-14,36.1,58.1,0.160088728,2500,2500,No
Salud Carbajal,Male,Non-white,CA,24,CA-24,Democrat,Incumbent,53.6,1,,,58.6,,1,7,56.7,36.5,0.231906957,2731632,1921422,Yes
Justin Fareed,Male,White,CA,24,CA-24,Republican,Challenger,36.4,1,,,41.4,,0,7,56.7,36.5,0.231906957,1432576,1469532,No
Michael Erin Woody,Male,White,CA,24,CA-24,Republican,Challenger,10,0,,,,,,7,56.7,36.5,0.231906957,118325,112191,No
Katie Hill,Female,White,CA,25,CA-25,Democrat,Challenger,20.7,1,,,54.4,,1,0,50.3,43.6,0.218934015,8354797,8327199,No
Bryan Caforio,Male,White,CA,25,CA-25,Democrat,Challenger,18.4,0,,,,,,0,50.3,43.6,0.218934015,1101674,1104246,No
Jess Pelaez Phoenix,Female,White,CA,25,CA-25,Democrat,Challenger,6.4,0,,,,,,0,50.3,43.6,0.218934015,485046,478879,No
Mary Pallant,Female,White,CA,25,CA-25,Democrat,Challenger,2.7,0,,,,,,0,50.3,43.6,0.218934015,8227,8227,No
Steve Knight,Male,White,CA,25,CA-25,Republican,Incumbent,51.8,1,,,45.6,,0,0,50.3,43.6,0.218934015,2596079,2569645,Yes
Julia Brownley,Female,White,CA,26,CA-26,Democrat,Incumbent,54.1,1,,,61.9,,1,7,57.9,36,0.263804162,2518621,1708535,Yes
John Nelson,Male,White,CA,26,CA-26,Democrat,Challenger,3.7,0,,,,,,7,57.9,36,0.263804162,17322,14217,No
"Antonio Sabato, Jr.",Male,White,CA,26,CA-26,Republican,Challenger,22.4,1,,,38.1,,0,7,57.9,36,0.263804162,325836,314126,No
Jeffrey D. Burum,Male,White,CA,26,CA-26,Republican,Challenger,19.8,0,,,,,,7,57.9,36,0.263804162,37987,37987,No
Judy Chu,Female,Non-white,CA,27,CA-27,Democrat,Incumbent,83.5,1,,,79.2,,1,16,66,28.4,0.348592365,1393161,920372,Yes
